Date,ipca_am,selic_over_am,selic_over_real_am,selic_over_std,ipca_std,selic_over_real_std
2016-01-31,0.0127,0.0106,-0.0020736644613409405,0.99,2.92,-1.83
2016-02-29,0.009000000000000001,0.01,0.0009910802775026095,0.75,1.74,-0.98
2016-03-31,0.0043,0.0116,0.007268744399083982,1.37,0.24,0.77
2016-04-30,0.0060999999999999995,0.0106,0.004472716429778201,0.99,0.82,-0.01
2016-05-31,0.0078000000000000005,0.0111,0.0032744592180988796,1.18,1.36,-0.34
2016-06-30,0.0034999999999999996,0.0116,0.008071748878923701,1.37,-0.01,0.99
2016-07-31,0.0052,0.0111,0.005869478710704312,1.18,0.53,0.38
2016-08-31,0.0044,0.012199999999999999,0.0077658303464755996,1.6,0.28,0.91
2016-09-30,0.0008,0.0111,0.01029176658673081,1.18,-0.87,1.61
2016-10-31,0.0026,0.0105,0.007879513265509619,0.95,-0.3,0.94
2016-11-30,0.0018,0.0104,0.008584547813934806,0.91,-0.55,1.13
2016-12-31,0.003,0.011200000000000002,0.008175473579262515,1.22,-0.17,1.02
2017-01-31,0.0038,0.0109,0.007073122135883514,1.1,0.09,0.71
2017-02-28,0.0033,0.0087,0.0053822386125783606,0.25,-0.07,0.24
2017-03-31,0.0025,0.0105,0.007980049875311757,0.95,-0.33,0.96
2017-04-30,0.0014000000000000002,0.0079,0.006490912722188824,-0.06,-0.68,0.55
2017-05-31,0.0031,0.009300000000000001,0.006180839397866622,0.48,-0.14,0.47
2017-06-30,-0.0023,0.008100000000000001,0.010423975142828557,0.02,-1.86,1.64
2017-07-31,0.0024,0.008,0.005586592178770999,-0.02,-0.36,0.3
2017-08-31,0.0019,0.008,0.0060884319792393615,-0.02,-0.52,0.44
2017-09-30,0.0016,0.0064,0.004792332268370503,-0.64,-0.62,0.08
2017-10-31,0.0042,0.0064,0.0021907986456881634,-0.64,0.21,-0.64
2017-11-30,0.0028000000000000004,0.005699999999999999,0.002891902672517155,-0.91,-0.23,-0.45
2017-12-31,0.0044,0.0054,0.000995619275189208,-1.02,0.28,-0.97
2018-01-31,0.0029,0.0058,0.0028916143184765097,-0.87,-0.2,-0.45
2018-02-28,0.0032,0.004699999999999999,0.0014952153110046051,-1.29,-0.11,-0.84
2018-03-31,0.0009,0.0053,0.004396043560795482,-1.06,-0.84,-0.03
2018-04-30,0.0022,0.0052,0.002993414488126289,-1.1,-0.43,-0.42
2018-05-31,0.004,0.0052,0.0011952191235060639,-1.1,0.15,-0.92
2018-06-30,0.0126,0.0052,-0.007307920205411711,-1.1,2.89,-3.28
2018-07-31,0.0033,0.0054,0.00209309279378056,-1.02,-0.07,-0.67
2018-08-31,-0.0009,0.005699999999999999,0.006605945350815823,-0.91,-1.41,0.58
2018-09-30,0.0048,0.004699999999999999,-9.952229299359239e-05,-1.29,0.4,-1.28
2018-10-31,0.0045000000000000005,0.0054,0.0008959681433551303,-1.02,0.31,-1.0
2018-11-30,-0.0021,0.0049,0.007014730934963298,-1.21,-1.8,0.7
2018-12-31,0.0015,0.0049,0.0033949076385419996,-1.21,-0.65,-0.31
