Date,juros_base_selic,previsao_inflacao_12m,inflacao_realizada_12m,custo_real_esperado,custo_real_efetivo
2016-01-01,14.25,7.054285714285714,10.71,6.721556486695657,3.197543130701841
2016-02-01,14.25,6.9719827586206895,10.36,6.803666767402028,3.5248278361725394
2016-03-01,14.25,6.657903225806452,9.39,7.118175535590865,4.4428192705000535
2016-04-01,14.25,6.327166666666667,9.28,7.4513725717635815,4.547950219619334
2016-05-01,14.25,6.081854838709678,9.32,7.699851377702083,4.509696304427391
2016-06-01,14.25,5.999916666666667,8.84,7.783103603068886,4.9705990444689485
2016-07-01,14.25,5.7575,8.74,8.03016334538922,5.067132609895175
2016-08-01,14.25,5.473467741935484,8.97,8.321080595869157,4.845370285399642
2016-09-01,14.25,5.231166666666667,8.48,8.570496383359183,5.3189528023599
2016-10-01,14.153225806451612,5.015806451612904,7.87,8.700994320363463,5.824813021647923
2016-11-01,14.0,4.890083333333334,6.99,8.6852030021904,6.5520142069352305
2016-12-01,13.75,4.775161290322581,6.29,8.565807581826522,7.018534198889825
2017-01-01,13.266129032258064,4.747338709677419,5.35,8.132703348379767,7.514123428816366
2017-02-01,12.839285714285714,4.603303571428571,4.76,7.873539230272186,7.712185676103189
2017-03-01,12.25,4.511209677419354,4.57,7.40474667403328,7.344362627904744
2017-04-01,11.65,4.5032499999999995,4.08,6.838782525902309,7.273251345119158
2017-05-01,11.25,4.596370967741936,3.6,6.36124271874603,7.384169884169878
2017-06-01,10.25,4.347916666666666,3.0,5.656158284584811,7.038834951456319
2017-07-01,10.088709677419354,4.379677419354839,2.71,5.469486397364465,7.184022663245404
2017-08-01,9.25,4.450725806451612,2.46,4.594773426889831,6.626976381026739
2017-09-01,8.483333333333333,4.039,2.54,4.271795512580234,5.796112086340277
2017-10-01,8.10483870967742,4.04733870967742,2.7,3.8996672575370983,5.262744605333425
2017-11-01,7.5,4.069916666666667,2.8,3.29594127025179,4.571984435797649
2017-12-01,7.096774193548387,3.8787096774193546,2.95,3.0979057461555826,4.027949678046028
2018-01-01,7.0,3.9492741935483875,2.86,2.934821652310271,4.024888197550069
2018-02-01,6.8125,3.990625,2.84,2.7135859602728463,3.862796577207317
2018-03-01,6.669354838709677,3.9283870967741934,2.68,2.637361955192463,3.8852306570994255
2018-04-01,6.5,4.031666666666667,2.76,2.3726749867828634,3.639548462436726
2018-05-01,6.5,4.243064516129032,2.86,2.1650701601560796,3.538790589150298
2018-06-01,6.5,4.478083333333333,4.39,1.9352543635547281,2.021266404828048
2018-07-01,6.5,3.868951612903226,4.48,2.533046060676658,1.9333843797856076
2018-08-01,6.5,3.6694354838709677,4.19,2.7303751611239324,2.2171033688453745
2018-09-01,6.5,3.9664999999999995,4.53,2.4368426368108764,1.8846264230364618
2018-10-01,6.5,4.0287096774193545,4.56,2.375584903671135,1.8553940321346385
2018-11-01,6.5,3.68925,4.05,2.710743881357036,2.3546371936568944
2018-12-01,6.5,3.719516129032258,3.75,2.6807721195967416,2.650602409638547
